"setA","setB","padj","pval","odds.ratio","jaccard.index","A.nCells","B.nCells","AB.intersect","A.total.counts","B.total.counts","B.avg_in.A","B.avg_in_all.B"
"Vmn2r20","Zfp369",0.0173076049824879,0.000335380548287567,3.76667557725349,0.0183028286189684,140,472,11,28051,8463,3.27272727272727,3.49364406779661
"Vmn2r124","Irf6",0.0173124424769158,0.00033555243200392,2.00448982122157,0.0156317846287451,195,2144,36,30589,19348,3.91666666666667,3.86986940298507
"Olfr344","Nfic",0.017313571495005,0.000335652464391031,4.55268472673114,0.0140845070422535,81,567,9,9128,8702,3.88888888888889,3.47619047619048
"Vmn2r58","Dlx3",0.0173304877642911,0.000336136407391415,2.29005388411899,0.00783085356303837,90,3771,30,16567,26221,4.56666666666667,4.28851763457969
"Vmn2r73","Nr6a1",0.0173304877642911,0.000336136866370377,9.28826067602498,0.0157728706624606,46,276,5,7610,6680,3.4,3.31884057971015
"Vmn2r69","Pbx1",0.0173452754450595,0.000336501976414913,2.28710389365647,0.00591910555738244,75,6043,36,14767,43075,4.72222222222222,5.3835843124276
"Vmn1r199","Elf2",0.0173662597284126,0.000336987463314041,2.22623244280445,0.0076036866359447,91,4282,33,15898,30195,4.87878787878788,4.21975712283979
"Vmn2r43","Cebpg",0.0173859349244819,0.000337447731264545,9.84057712608151,0.00150962385205686,14,7947,12,439,55539,7.41666666666667,5.62413489367057
"Vmn2r25","Batf3",0.0173911056847572,0.000338064737221892,5.24310662087248,0.0102171136653895,50,741,8,5981,6876,4.625,4.12010796221323
"Vmn2r49","Cdc5l",0.0173911056847572,0.000337976489027171,1.83962647010351,0.0140360928100831,190,3350,49,21241,23668,4.06122448979592,4.09074626865672
"Vmn2r129","Mef2a",0.0173911056847572,0.000337803429118839,2.71017661793235,0.00412654745529574,51,7249,30,5073,48318,5.26666666666667,4.9533728790178
"Vmn1r216","Meis2",0.0173911056847572,0.000338015312729852,7.68832815897363,0.00197193780811528,28,13183,26,4486,194963,15,14.5803686566032
"Vmn2r55","Pura",0.0173911056847572,0.000338097588669742,7.10417471193147,0.00187681283057499,15,5857,11,838,38339,4.81818181818182,4.53576916510159
"Olfr344","Zfp644",0.0173911056847572,0.00033770733567835,2.83491691555647,0.00903161063723031,81,1930,18,9128,18153,3.38888888888889,3.73367875647668
"Vmn2r42","Zfp950",0.0173911056847572,0.000337681610135113,3.52047588793751,0.0178041543026706,142,544,12,5811,8937,3.83333333333333,3.39705882352941
"Vmn2r43","Xbp1",0.0174101439774808,0.000338546294438068,7.52305541479501,0.00252525252525253,14,3162,8,439,24069,4.75,4.03573687539532
"Vmn2r115","Zfp410",0.0174157692123844,0.000338734289965715,9.05968003975895,0.0227272727272727,102,123,5,30319,5152,3,3.17073170731707
"Olfr1509","Cebpa",0.0174160969551304,0.000338819276877784,87.6643592955262,0.04,16,36,2,1152,329,3,3.63888888888889
"Vmn2r89","Ebf3",0.0174540521669801,0.000339636455475441,2.04404488188703,0.00657285687835586,104,10769,71,15160,73103,6.33802816901408,5.84538954406166
"Vmn1r56","Irf2",0.0174816529201809,0.000340290556406166,2.83268524990668,0.00710014947683109,66,2629,19,2507,21111,3.84210526315789,3.94864967668315
"Vmn2r55","Zbtb7a",0.0174816529201809,0.000340331351987598,7.09744088353747,0.00187553282182438,15,5861,11,838,39887,4.81818181818182,4.79389182733322
"Olfr653","Skil",0.0175276017541556,0.000341304995700301,7.45050319734734,0.00938967136150235,33,612,6,3722,8209,4.5,3.65849673202614
"Vmn2r88","Trp73",0.0175838042132586,0.000342478763497143,4.15459579658354,0.0126262626262626,78,724,10,17979,9915,3.5,3.46546961325967
"Vmn1r172","Meis2",0.0175887498407363,0.000342733872560117,4.87975009558415,0.0025024645484189,37,13183,33,4745,194963,17.5151515151515,14.5803686566032
"Vmn1r8","Meis2",0.0175887498407363,0.000342733872560117,4.87975009558415,0.0025024645484189,37,13183,33,8380,194963,16.7878787878788,14.5803686566032
"Vmn2r13","Cebpb",0.0175905291007803,0.000342847942878928,3.68913171225734,0.00449438202247191,36,3093,14,3541,24583,5.92857142857143,4.79631425800194
"Fpr-rs3","Tfb2m",0.0175975628776547,0.000343064466059071,13.199371067832,0.0242424242424242,98,71,4,3124,3508,3,3.07042253521127
"Vmn2r14","Pura",0.0176041969220463,0.00034327325814845,8.61055317076248,0.00170648464163823,13,5857,10,1543,38339,4.2,4.53576916510159
"Vmn1r168","Bcl11b",0.0176112035671363,0.000343489377340825,2.46277589813865,0.00688194812069878,75,3729,26,16042,27751,4.30769230769231,4.29203539823009
"Vmn1r34","Nfix",0.0176274776867964,0.000343948502185144,2.1366987512979,0.0114244912531239,134,2699,32,28665,22822,6.375,5.99666543164135
"Vmn2r78","Zfp9",0.0176274776867964,0.00034396592117151,24.6042713088028,0.0283018867924528,44,65,3,6162,3323,3,3.2
"Vmn2r6","Zfp984",0.0176325064461796,0.000344143636809304,7.56045143845748,0.00825309491059147,704,29,6,21865,1737,72.5,48.0344827586207
"Vmn2r113","Dlx5",0.0176461046647546,0.000344488691524318,2.72765705216474,0.0046711509715994,52,5325,25,6092,35992,4.76,4.70159624413146
"Vmn2r108","Ddit3",0.017647889147575,0.000344755715099631,2.33510327420666,0.00806219406852865,90,3411,28,13614,28328,5.14285714285714,6.03518029903254
"Vmn2r2","E2f5",0.017647889147575,0.000344815451877458,2.48686729613527,0.0176767676767677,1021,188,21,26099,5901,3.0952380952381,3.24468085106383
"Vmn2r6","Gm4924",0.017647889147575,0.000344789830084713,4.5895773479252,0.011826544021025,704,66,9,21865,3401,3.22222222222222,3.13636363636364
"Vmn2r29","Zfp637",0.017647889147575,0.000344842162820262,9.77583852051245,0.00914076782449726,25,527,5,909,8497,3.2,3.33965844402277
"Vmn1r69","Rora",0.017666680504545,0.00034528909193966,91.2410051712573,0.0298507462686567,59,10,2,7144,391,3,3.5
"Vmn2r30","Nfil3",0.0177217952325317,0.000346446282237817,2.3628119387587,0.0205173951828724,243,901,23,30393,11230,4.04347826086957,3.53718091009989
