"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"3110039M20Rik",2.94467111649277e-11,1.02435387090559,0.533,0.017,1.54085805512717e-06
"Mkrn2os",3.10538607075671e-11,1.00195664716903,0.679,0.153,1.62495536924487e-06
"Gm28707",3.25735769592426e-11,-0.478817859133705,0.015,0.339,1.70447756154629e-06
"Nsd1",3.26103493254835e-11,0.990500267426499,0.81,0.407,1.70640174915458e-06
"Syne2",3.40215876170937e-11,1.11613807396734,0.803,0.39,1.78024761523966e-06
"Sp8",3.49368105879105e-11,1.30115862390278,0.533,0.017,1.8281384876336e-06
"Aig1",3.5140091847042e-11,-0.553519702492113,0.124,0.559,1.83877558608017e-06
"Tgfbr1",3.59925470732142e-11,-0.951264407350458,0.715,0.949,1.88338201070008e-06
"Iqsec1",3.60706579091749e-11,1.3867959647619,0.774,0.271,1.88746931641339e-06
"Klhl5",3.68960189592148e-11,-0.642736577555871,0.102,0.508,1.93065798407883e-06
"Gm50373",4.12888118846332e-11,-0.504587653751243,0.015,0.339,2.1605196594872e-06
"Gm15417",4.29590526656667e-11,-0.590088015972089,0.117,0.542,2.24791834883634e-06
"Guk1",4.42695490401258e-11,1.29920697115591,0.854,0.661,2.31649269262266e-06
"Sult1d1",5.23440658539636e-11,-0.915411616877585,0.036,0.39,2.73900793394035e-06
"Ifi27",5.85982790842071e-11,1.46468944222442,0.635,0.153,3.0662721496393e-06
"Isl1",5.91364541850963e-11,-0.429850638297829,0,0.288,3.09443323814353e-06
"Aldh2",6.2714340798686e-11,0.950154072678615,0.693,0.22,3.28165331097284e-06
"Kctd1",6.36610321163607e-11,1.08262173511575,0.628,0.119,3.33119082755281e-06
"Nhlh2",7.254270829178e-11,1.08139439730473,0.927,0.559,3.79594229678397e-06
"Enah",7.41042755661116e-11,-0.808639233695554,0.766,0.966,3.87765442754792e-06
"Plaat3",8.17053475213586e-11,1.08395071300598,0.672,0.169,4.27539571975013e-06
"Frmd4b",8.69001029136739e-11,-0.827226416702855,0.212,0.627,4.54722168516381e-06
"Cpsf6",8.83979335244586e-11,-0.810829033967279,0.891,1,4.62559866753435e-06
"Tubb3",9.255874610545e-11,0.586036352598405,1,1,4.84332150745988e-06
"C130089K02Rik",9.53546670008287e-11,1.03597640385761,0.672,0.169,4.98962366015236e-06
"P2ry14",9.65364521032046e-11,-0.856350105275737,0.445,0.864,5.05146292920439e-06
"Arl14epl",9.66329287793571e-11,-0.862782472212806,0.788,0.949,5.05651126423742e-06
"G630016G05Rik",1.00145289728035e-10,0.918086862227367,0.533,0.034,5.24030257559889e-06
"Dap",1.13622511579217e-10,-0.84416950185334,0.277,0.695,5.9455251634057e-06
"Gm34294",1.16601218822147e-10,-0.379792334047861,0.007,0.305,6.1013919773065e-06
"Aff3",1.21060925919758e-10,-0.774174352328919,0.599,0.932,6.33475507060316e-06
"2700033N17Rik",1.22182085019867e-10,0.933353522599217,0.526,0.034,6.3934219628346e-06
"Gdf11",1.23300969268543e-10,-0.948195836481035,0.241,0.678,6.45196981891504e-06
"Bcl7a",1.35389069230874e-10,-0.828996740741367,0.978,1,7.08450382564393e-06
"Septin9",1.37706157634053e-10,-0.638713883385142,0.066,0.441,7.20575011051709e-06
"Ly75",1.39556265694275e-10,-0.683511912024291,0.197,0.661,7.30256071498432e-06
"Cacna2d2",1.40323432198488e-10,1.04044118380179,0.489,0,7.34270423665029e-06
"Rpl38",1.40369260332106e-10,-0.561688141176693,1,1,7.34510228539809e-06
"Rprm",1.53138952493548e-10,-1.35227227642262,0.657,0.898,8.01330196712987e-06
"Nkd2",1.53436764951511e-10,-0.594714743800239,0.015,0.322,8.02888559961771e-06
"Prkar2b",1.63339954620784e-10,0.813398459290624,0.62,0.136,8.54708980544175e-06
"Tmeff1",1.75796960875887e-10,0.896322852050903,0.686,0.22,9.19892757175253e-06
"Ptpn13",1.84740425141636e-10,-0.668595905438548,0.182,0.61,9.6669122263864e-06
"Ldha",1.94965058833123e-10,1.02611092602529,0.693,0.237,1.02019366335608e-05
"Dusp4",2.05262476228426e-10,1.02956703772147,0.664,0.169,1.07407695936049e-05
"Bfsp2",2.06057484867598e-10,1.90231934067475,0.715,0.305,1.07823700106668e-05
"Cuedc1",2.13737913825571e-10,0.719045927536592,0.569,0.068,1.11842638167507e-05
"Khdrbs3",2.15823840827623e-10,-1.00681204492796,0.555,0.864,1.1293414118987e-05
"Igfbp3",2.21444830869721e-10,-0.390308182437449,0.015,0.322,1.15875436649199e-05
"Cldn9",2.24764478948093e-10,-0.786674081010069,0.416,0.797,1.17612508899168e-05
"Arf5",2.2519751094769e-10,0.770376620286811,0.927,0.898,1.17839101553598e-05
"9230105E05Rik",2.39415935634618e-10,-0.339457359957747,0,0.271,1.25279176639526e-05
"Tcf15",2.39415935634618e-10,-0.446477964339449,0,0.271,1.25279176639526e-05
"Med12l",2.52436275788509e-10,-0.929820192741864,0.635,0.932,1.32092330031853e-05
"Gmnc",2.63024096058141e-10,1.00128263022883,0.496,0.017,1.37632618744344e-05
"Ttll7",2.74596707511212e-10,-0.801553388131338,0.555,0.847,1.43688219139392e-05
"Ascc1",2.75738236843532e-10,-0.711869271558354,0.372,0.78,1.44285547193115e-05
"Zadh2",3.05033319261536e-10,-0.901346032448874,0.175,0.576,1.59614784969984e-05
"Ccdc77",3.1053418536089e-10,-0.613014546965039,0.314,0.763,1.62493223173793e-05
"Cdk14",3.4284281173116e-10,0.832537004599091,0.693,0.22,1.79399358094564e-05
"Zbtb7b",3.45532110247146e-10,-0.59251183497449,0.153,0.559,1.80806587329024e-05
"Rbm15b",3.61162340784999e-10,-0.804879720657482,0.818,0.966,1.88985418062566e-05
"Olfm1",3.68134988794942e-10,0.984791645516546,0.854,0.508,1.92633995586729e-05
"Pcp4l1",3.85446918963908e-10,-1.06940659109633,0.547,0.881,2.01692809286244e-05
"Ndufaf4",3.87788681020092e-10,-0.75796498506093,0.453,0.831,2.02918183117384e-05
"Galnt16",3.90803839240783e-10,-0.459724030553961,0.007,0.288,2.04495924959525e-05
"Sdk1",4.2494557216477e-10,0.898292845293032,0.934,0.864,2.22361269546659e-05
"St18",4.4121605088721e-10,0.795673257571228,0.496,0.017,2.30875122947751e-05
"S100a11",4.43889722554603e-10,0.971928332775261,0.723,0.22,2.32274175121147e-05
"Thpo",4.65663692488022e-10,-0.277419208005325,0.007,0.288,2.43667840368207e-05
"Cyp4v3",4.65663692488022e-10,-0.414519194124455,0.007,0.288,2.43667840368207e-05
"Rad18",4.90983488239271e-10,0.906956068311779,0.679,0.22,2.56916929890963e-05
"Dynlrb2",4.92615150523822e-10,1.04847691273548,0.752,0.339,2.57770729814601e-05
"Ccser2",5.32271177593849e-10,0.99398973324811,0.752,0.407,2.78521539099533e-05
"Fhad1",5.95689492264224e-10,0.935999538715549,0.504,0.034,3.11706440617101e-05
"Cecr2",6.07814776809599e-10,-0.730214065849034,0.46,0.847,3.18051238261159e-05
"Maml3",6.1421144970186e-10,0.851918529743841,0.752,0.288,3.21398425285493e-05
"Msi1",6.14928679932198e-10,-0.851501562155555,0.679,0.932,3.21773730348121e-05
"Bdnf",6.16577488126806e-10,-0.706860761221505,0.022,0.322,3.22636502212114e-05
"Ssx2ip",7.07205141070113e-10,-0.95035534205409,0.672,0.881,3.70059234167758e-05
"Bin1",7.34597704149416e-10,0.886593322497789,0.737,0.322,3.84392940650265e-05
"2410006H16Rik",7.9232364865283e-10,-0.995154010574714,0.664,0.898,4.14599195630566e-05
"Uba2",8.4408334600541e-10,-0.653743454962369,0.774,0.966,4.41683492464251e-05
"Camta1",8.95432830991804e-10,0.839235099207525,0.92,0.729,4.68553137473081e-05
"Kcns3",9.32335571847441e-10,-0.529806389633741,0.029,0.339,4.87863234680611e-05
"Kdm6a",9.42445416253471e-10,-0.827686146287354,0.372,0.797,4.93153412962954e-05
"Il33",9.57627332905839e-10,-0.448023869700815,0,0.254,5.01097654489638e-05
"Trpc4",9.57627332905839e-10,-0.34345672823938,0,0.254,5.01097654489638e-05
"Paqr9",9.57627332905839e-10,-0.343557957186657,0,0.254,5.01097654489638e-05
"6820431F20Rik",9.72189707978689e-10,0.96345965226183,0.708,0.339,5.08717708494008e-05
"Cidea",9.97972639533471e-10,-0.432331117137722,0.036,0.356,5.22209143088679e-05
"Syn2",1.00042724691688e-09,0.829836417460585,0.526,0.068,5.23493565494197e-05
"Cerkl",1.10454877796538e-09,0.819331810775103,0.511,0.051,5.77977239045945e-05
"Acaa1b",1.16428200146665e-09,0.69450990855209,0.453,0,6.09233842907451e-05
"H2bu2",1.18374045162609e-09,-0.975186589932413,0.861,0.983,6.19415866122384e-05
"Dtx1",1.19725269216172e-09,0.804591651662968,0.518,0.068,6.26486416227462e-05
"Golim4",1.23979039514794e-09,0.914448161066961,0.679,0.271,6.48745120069061e-05
"Dctn1",1.2629426179713e-09,-0.776569061752037,0.825,0.949,6.60859983705843e-05
"Pebp1",1.34859402729273e-09,0.812199181680681,0.978,0.932,7.05678796661468e-05
"Znhit6",1.35032733190038e-09,0.974403262608125,0.73,0.322,7.06585782963512e-05
"Maml2",1.35646992811106e-09,0.802631405767687,0.467,0.017,7.09800019282673e-05
"C1qtnf4",1.4322938259096e-09,-0.738769055431987,0.19,0.61,7.49476390283716e-05
